tenure,TotalChurnedCustomers,TotalCustomers,ChurnRate
0,0,11,0.0
1,380,613,0.6199021207177814
2,123,238,0.5168067226890757
3,94,200,0.47
4,83,176,0.4715909090909091
5,64,133,0.48120300751879697
6,40,110,0.36363636363636365
7,51,131,0.3893129770992366
8,42,123,0.34146341463414637
9,46,119,0.3865546218487395
10,45,116,0.3879310344827586
11,31,99,0.31313131313131315
12,38,117,0.3247863247863248
13,38,109,0.3486238532110092
14,24,76,0.3157894736842105
15,37,99,0.37373737373737376
16,28,80,0.35
17,26,87,0.2988505747126437
18,24,97,0.24742268041237114
19,19,73,0.2602739726027397
20,18,71,0.2535211267605634
21,17,63,0.2698412698412698
22,27,90,0.3
23,13,85,0.15294117647058825
24,23,94,0.24468085106382978
25,23,79,0.2911392405063291
26,15,79,0.189873417721519
27,13,72,0.18055555555555555
28,12,57,0.21052631578947367
29,15,72,0.20833333333333334
30,16,72,0.2222222222222222
31,16,65,0.24615384615384617
32,19,69,0.2753623188405797
33,14,64,0.21875
34,12,65,0.18461538461538463
35,15,88,0.17045454545454544
36,10,50,0.2
37,15,65,0.23076923076923078
38,13,59,0.22033898305084745
39,14,56,0.25
40,13,64,0.203125
41,14,70,0.2
42,14,65,0.2153846153846154
43,15,65,0.23076923076923078
44,6,51,0.11764705882352941
45,6,61,0.09836065573770492
46,12,74,0.16216216216216217
47,14,68,0.20588235294117646
48,9,64,0.140625
49,15,66,0.22727272727272727
50,10,68,0.14705882352941177
51,8,68,0.11764705882352941
52,8,80,0.1
53,14,70,0.2
54,13,68,0.19117647058823528
55,9,64,0.140625
56,10,80,0.125
57,8,65,0.12307692307692308
58,11,67,0.16417910447761194
59,8,60,0.13333333333333333
60,6,76,0.07894736842105263
61,8,76,0.10526315789473684
62,5,70,0.07142857142857142
63,4,72,0.05555555555555555
64,4,80,0.05
65,9,76,0.11842105263157894
66,13,89,0.14606741573033707
67,10,98,0.10204081632653061
68,9,100,0.09
69,8,95,0.08421052631578947
70,11,119,0.09243697478991597
71,6,170,0.03529411764705882
72,6,362,0.016574585635359115
